WALIS Other chronology ID,Is this datapoint public?,Short name,Dating technique,Description,Upper age (ka),Lower age (ka),Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Reference(s),Record created by,Record updated by,Last Update
34,1,CENA-121,Radiocarbon,"This is a wood sample from the massive mud facies of the sands from an outcrop of the Canal do Varadouro  (Paranaguá, Brazil) that is older than the detection of the method (>40 000 B.P). The wooden fragment comes from a tidal paleo-channel full of sand, fine and abundant plant remains. 
According to the calculated age and the chronostratigraphy of the region, a date of the deposit with late Pleistocene ages is assumed. Representing an RSL indicator during the last interglacial. ",0.0,0.0,Older than,MIS 1,,"Angulo et al., 2002
 Rubio-Sandoval et al., 2021",Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2021-03-07 22:33:11
35,1,Ba 227,Radiocarbon,The date corresponds to the dating of some pieces of wood taken from the clay formation at the current high tide level. The result was 28 000 +/- 200 years old. The authors suggest a possible contamination of the sample which could have generated the small measured sample activity and in this case the formation analyzed could be older and date the transgressive episode of 100 000 and B.P. ,0.0,0.0,Older than,MIS 1,,"Martin and Suguio, 1976
 Rubio-Sandoval et al., 2021",Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2021-03-22 22:46:45
38,1,Limiting radiocarbon date (Mediterranean),Some mediterranean marine records placed above the MSL were dated using radiocarbon techniques. The ages are usually > 12000 but they don't provide an actual data. ,"We consider these dates ad indication of MIS 5 age. However, we cannot subdivide among the different MIS 5 substage and we cannot exclude older interglacial ages. ",0.0,0.0,Older than,MIS 1,,"Cerrone et al., 2021
 Nesteroff, 1984",Matteo Vacchi,Matteo Vacchi,2021-07-06 08:14:44
39,1,FU05-001,Radiocarbon,"Lab ID: LP-1217
Species: T. plebeius
In living position, articulated
gave non-finite age of >40000 14C yr BP",0.0,0.0,Older than,MIS 3,Probably MIS 5 based on stratigraphy,"Fucks et al., 2005
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:55:02
40,1,RA08-001,Radiocarbon,"Lab ID: AA-69648
unidentified marine shell fragments
gave finite age of 42700+-1500 14C yr BP, but this is likely a minimum age",0.0,0.0,Older than,MIS 3,Probably MIS 5 based on stratigraphy,"Rabassa et al., 2008
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-03-12 02:29:41
41,1,WO92,Radiocarbon,"This is a sample from a clay deposit dated at more than 48 000 y.  



According to the calculated age and the chronostratigraphy of the region, a date of the deposit with late Pleistocene ages is assumed. Representing an RSL indicator during the last interglacial. 







",0.0,0.0,Older than,MIS 1,,"Brinkman and Pons 
 Wong, 1992
 Rubio-Sandoval et al., 2021",Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2021-03-22 22:46:54
42,1,strontium isotopes,87Sr/86Sr,"Sr isotope ratios were measured at two laboratories, the University of Cambridge
and the University of the Ryukyus, using a VG Sector 54 and a Finnigan Mat 262
mass spectrometer. The 88Sr beam was controlled at ca. 3 V during which 12 blocks
of 10 ratios were measured. Each sample was analysed one to three times. The
Rb content was low enough (less than 0.1 ppm) that no correction for in-growth of
radiogenic 87Sr was necessary. A 85Rb beam was monitored for within run correction.
Typical corrections of 0.000 005 were required to the measured 87Sr/86Sr ratios. Mass fractionation was corrected using an exponential fractionation law. The NBS SRM
987 standard measured during the course of this study gave 87Sr/86Sr = 0.710 251
(±9, 2SD) (n = 42) at Cambridge and 87Sr/86Sr = 0.710 246 (±9, 2SD) (n = 25)
at Ryukyu. Measurements of 87Sr/86Sr in a modern coral standard from Minamidaito-
jima gave 0.709 178 (±10, 2SD) (n = 17) and 0.709 175 (±9, 2SD) (n = 15),
respectively. The data were normalized to 86Sr/88Sr = 0.1194 and to 87Sr/86Sr =
0.709 18 for the coral standard, which was analysed in each turret (or magazine) of
samples.",0.0,0.0,Equal to,MIS 5,,"Ohde et al. 2002
 Hallmann et al., 2021",Gilbert Camoin,Gilbert Camoin,2020-04-29 09:07:06
43,1,MAND 1 B,40Ar/39Ar,Argon dating of sandinine.,255.1,257.3,,N/A,,"Marra et al., 2019
 Cerrone et al., 2021",Alessio Rovere,,2020-05-07 04:21:20
44,1,NCR2,40Ar/39Ar,Argon dating of sandinine from a pyroclastic lava flow.,127.0,131.0,Equal to,MIS 5e,The final age is an average of 9 subsamples. ,"Marra et al., 2016
 Cerrone et al., 2021",Alessio Rovere,Alessio Rovere,2020-05-08 03:15:08
45,1,Puerto de Nueva Palmira 1,Radiocarbon,"Shell in fine to medium sand
Species: M. isabelleana
Lab Code: LP-738
Calcite: 50%
Aragonite: 50%
Age: 31,000+-1200",0.0,31.0,Older than,MIS 3,"Regarded as minimum limiting due to the presence of species typically found in warmer water than present conditions, which was unlikely to be true in MIS 3..","Martinez et al., 2001
 Rojas and Martinez, 2016
 Gowan et al., 2021",Evan Gowan,,2020-05-13 06:24:19
46,1,Puerto de Nueva Palmira 2,Radiocarbon,"Shell in fine to medium sand
Species: A. brasiliana
Lab Code: LP-730
Calcite: 0%
Aragonite: 100%
Age: 34,600+-2000",0.0,34.6,Older than,MIS 3,"Regarded as minimum limiting due to the presence of species typically found in warmer water than present conditions, which was unlikely to be true in MIS 3..","Martinez et al., 2001
 Rojas and Martinez, 2016
 Gowan et al., 2021",Evan Gowan,,2020-05-13 06:25:53
47,1,Zagarzazu 1,Radiocarbon,"Shell, interpreted to be in living position, in marine sediments

Species: Tagelus plebeius

Lab Code: LP-1466

Age: 35,500+-1900",0.0,35.5,Older than,MIS 3,"Regarded as minimum limiting due to the presence of species typically found in warmer water than present conditions, which was unlikely to be true in MIS 3..","Rojas and Martinez, 2016
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-14 05:36:34
48,1,La Coronilla 2,Radiocarbon,"Shell in fine sand
Species: Mactra isabelleana
aragonite: 88%
calcite: 12%
Lab Code: LP-824
Age: 35,500+-1900",0.0,35.5,Older than,MIS 3,"Regarded as minimum limiting due to the presence of species typically found in warmer water than present conditions, which was unlikely to be true in MIS 3..","Martinez et al., 2001
 Rojas and Martinez, 2016
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-14 05:36:08
49,1,La Coronilla 1,Radiocarbon,"Shell in clay
Species: Ostrea equestris
aragonite: 0%
calcite: 100%
Lab Code: LP-884
Age: 29,500+-600",0.0,29.5,Older than,MIS 3,"Regarded as minimum limiting due to the presence of species typically found in warmer water than present conditions, which was unlikely to be true in MIS 3..","Martinez et al., 2001
 Rojas and Martinez, 2016
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-14 05:54:16
